City, Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
Hamilton, Ruakura 2 Ews,Mar-2020,68,38.4,-,
Hamilton, Ruakura 2 Ews,Apr-2020,68,100.3,-,
Hamilton, Ruakura 2 Ews,May-2020,68,174.7,-,
Hamilton, Ruakura 2 Ews,Jun-2020,68,189.9,-,
Hamilton, Ruakura 2 Ews,Jul-2020,68,251.9,-,
Hamilton, Ruakura 2 Ews,Aug-2020,68,213.2,-,
Hamilton, Ruakura 2 Ews,Sep-2020,68,178.6,-,
Hamilton, Ruakura 2 Ews,Oct-2020,68,120.2,-,
Hamilton, Ruakura 2 Ews,Nov-2020,68,63.9,-,
Hamilton, Ruakura 2 Ews,Dec-2020,68,45.2,-,
Hamilton, Ruakura 2 Ews,Jan-2021,68,13.1,-,
Hamilton, Ruakura 2 Ews,Feb-2021,68,4.3,-,
Hamilton, Ruakura 2 Ews,Mar-2021,68,21.3,-,
Hamilton, Ruakura 2 Ews,Apr-2021,68,93.0,-,
Hamilton, Ruakura 2 Ews,May-2021,68,173.6,-,
Hamilton, Ruakura 2 Ews,Jun-2021,68,205.9,-,
Hamilton, Ruakura 2 Ews,Jul-2021,68,279.0,-,
Hamilton, Ruakura 2 Ews,Aug-2021,68,245.3,-,
Hamilton, Ruakura 2 Ews,Sep-2021,68,199.0,-,
Hamilton, Ruakura 2 Ews,Oct-2021,68,117.4,-,
Christchurch, Kyle St Ews,Jan-2017,68,38.2,-,
Christchurch, Kyle St Ews,Feb-2017,68,29.5,-,
Christchurch, Kyle St Ews,Mar-2017,68,89.1,-,
Christchurch, Kyle St Ews,Apr-2017,68,150.6,-,
Christchurch, Kyle St Ews,May-2017,68,281.2,-,
Christchurch, Kyle St Ews,Jun-2017,68,307.7,-,
Christchurch, Kyle St Ews,Jul-2017,68,348.0,-,
Christchurch, Kyle St Ews,Aug-2017,68,269.1,-,
Christchurch, Kyle St Ews,Sep-2017,68,189.5,-,
Christchurch, Kyle St Ews,Oct-2017,68,145.2,-,
Christchurch, Kyle St Ews,Nov-2017,68,84.5,-,
Christchurch, Kyle St Ews,Dec-2017,68,32.8,-,
Christchurch, Kyle St Ews,Jan-2018,68,16.9,-,
Christchurch, Kyle St Ews,Feb-2018,68,43.0,-,
Christchurch, Kyle St Ews,Mar-2018,68,57.4,-,
Christchurch, Kyle St Ews,Apr-2018,68,169.4,-,
Christchurch, Kyle St Ews,May-2018,68,238.1,-,
Christchurch, Kyle St Ews,Jun-2018,68,303.3,-,
Christchurch, Kyle St Ews,Jul-2018,68,304.5,-,
Christchurch, Kyle St Ews,Aug-2018,68,278.3,-,
Christchurch, Kyle St Ews,Sep-2018,68,227.9,-,
Christchurch, Kyle St Ews,Oct-2018,68,179.4,-,
Christchurch, Kyle St Ews,Nov-2018,68,125.5,-,
Christchurch, Kyle St Ews,Dec-2018,68,58.0,-,
Christchurch, Kyle St Ews,Jan-2019,68,19.7,-,
Christchurch, Kyle St Ews,Feb-2019,68,40.1,-,
Christchurch, Kyle St Ews,Mar-2019,68,41.7,-,
Christchurch, Kyle St Ews,Apr-2019,68,166.2,-,
Christchurch, Kyle St Ews,May-2019,68,201.6,-,
Christchurch, Kyle St Ews,Jun-2019,68,332.6,-,
Christchurch, Kyle St Ews,Jul-2019,68,292.2,-,
Christchurch, Kyle St Ews,Aug-2019,68,306.9,-,
Christchurch, Kyle St Ews,Sep-2019,68,226.5,-,
Christchurch, Kyle St Ews,Oct-2019,68,188.0,-,
Christchurch, Kyle St Ews,Nov-2019,68,65.1,-,
Christchurch, Kyle St Ews,Dec-2019,68,53.2,-,
Christchurch, Kyle St Ews,Jan-2020,68,34.9,-,
Christchurch, Kyle St Ews,Feb-2020,68,30.3,-,
Christchurch, Kyle St Ews,Mar-2020,68,110.5,-,
Christchurch, Kyle St Ews,Apr-2020,68,126.8,-,
Christchurch, Kyle St Ews,May-2020,68,225.3,-,
Christchurch, Kyle St Ews,Jun-2020,68,283.2,-,
Christchurch, Kyle St Ews,Jul-2020,68,328.4,-,
Christchurch, Kyle St Ews,Aug-2020,68,260.9,-,
Christchurch, Kyle St Ews,Sep-2020,68,202.9,-,
Christchurch, Kyle St Ews,Oct-2020,68,134.5,-,
Christchurch, Kyle St Ews,Nov-2020,68,104.8,-,
Christchurch, Kyle St Ews,Dec-2020,68,61.0,-,
Christchurch, Kyle St Ews,Jan-2021,68,33.1,-,
Christchurch, Kyle St Ews,Feb-2021,68,32.6,-,
Christchurch, Kyle St Ews,Mar-2021,68,58.2,-,
Christchurch, Kyle St Ews,Apr-2021,68,126.2,-,
