"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"508","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",1,2020,1638,8.2,199.8
"509","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",2,2020,1995,8.3,240.4
"510","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",3,2020,1588,8.2,193.7
"511","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",4,2020,277,8.2,33.8
"512","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",5,2020,1007,8.2,122.8
"513","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",6,2020,1215,8.2,148.2
"514","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",7,2020,1363,8.1,168.3
"515","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",8,2020,1486,8.1,183.5
"516","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",9,2020,1575,8.1,194.4
"517","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",10,2020,1461,8.1,180.4
"518","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",11,2020,1315,8.1,162.3
"519","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",12,2020,1511,8.1,186.5
"520","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",1,2021,1306,8,163.2
"521","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",2,2021,1676,8,209.5
"522","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",3,2021,1118,8,139.8
"523","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",4,2021,1171,8,146.4
"524","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",5,2021,1199,8,149.9
"525","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",6,2021,1190,7.9,150.6
"526","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",7,2021,1442,7.9,182.5
"527","f4761714","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",8,2021,864,8,108
"528","1e353f72","Nissan e-NV200 (24 kWh)","Wellington","Summer",2,2020,1182,5.8,203.8
