"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"3807","a6784384","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",6,2021,881,5.9,149.3
"3808","a6784384","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",7,2021,892,5.9,151.2
"3809","a6784384","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",8,2021,1171,6,195.2
"3810","a6784384","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Spring",9,2021,743,6.2,119.8
"3811","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Autumn",4,2018,1696,6.4,265
"3812","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Autumn",5,2018,2329,6.2,375.6
"3813","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Winter",8,2018,1960,6.2,316.1
"3814","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Spring",9,2018,2041,6.2,329.2
"3815","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Spring",10,2018,2372,6.1,388.9
"3816","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Spring",11,2018,2753,6.4,430.2
"3817","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Summer",12,2018,2491,6.5,383.2
"3818","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Summer",1,2019,2274,6.5,349.8
"3819","3ebbb750","Nissan Leaf (24 kWh) 2011-2012","Waikato","Summer",2,2019,1546,6.4,241.6
"3820","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",8,2018,824,6.3,130.8
"3821","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2018,743,6.2,119.8
"3822","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2018,712,6.3,113
"3823","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2018,836,6.2,134.8
"3824","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2018,988,6.5,152
"3825","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",1,2019,951,6.4,148.6
"3826","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",2,2019,591,6.4,92.3
"3827","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2019,1246,6.5,191.7
"3828","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2019,802,6,133.7
"3829","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2019,860,6.2,138.7
"3830","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",8,2019,875,6.3,138.9
"3831","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2019,890,6.2,143.5
"3832","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2019,1036,6.4,161.9
"3833","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2019,967,6.7,144.3
"3834","cf5fccf3","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2019,846,6.8,124.4
"3835","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Summer",2,2018,1385,6.8,203.7
"3836","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Autumn",3,2018,1811,6.5,278.6
"3837","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Autumn",4,2018,2252,6.2,363.2
"3838","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Winter",7,2018,1362,5.9,230.8
"3839","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Winter",8,2018,2264,6,377.3
"3840","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Spring",9,2018,1540,6.1,252.5
"3841","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Spring",10,2018,2185,6.4,341.4
"3842","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Autumn",3,2019,1760,6,293.3
"3843","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Autumn",4,2019,2109,5.7,370
"3844","b44b8052","Nissan Leaf (24 kWh) 2013-2016","Mid Canterbury","Spring",11,2019,1567,5.9,265.6
"3845","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2017,1441,7.5,192.1
"3846","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2017,1138,7.5,151.7
"3847","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2017,1192,7.6,156.8
"3848","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2017,1139,7.6,149.9
"3849","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2017,791,7.3,108.4
"3850","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2017,1131,7.4,152.8
"3851","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2017,916,7.6,120.5
"3852","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2017,1348,8,168.5
"3853","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2017,1341,8.2,163.5
"3854","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2017,1215,7.7,157.8
"3855","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2018,1118,7.7,145.2
"3856","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2018,1403,7.6,184.6
"3857","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2018,753,7.6,99.1
"3858","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2018,943,8.2,115
"3859","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2018,795,8,99.4
"3860","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2018,412,7.7,53.5
"3861","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2018,699,7.5,93.2
"3862","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2018,908,7.7,117.9
"3863","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2018,794,7.9,100.5
"3864","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2018,862,8,107.8
"3865","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2018,600,7.7,77.9
"3866","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2019,1047,7.7,136
"3867","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2019,851,7.9,107.7
"3868","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2019,1095,7.5,146
"3869","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2019,705,8.4,83.9
"3870","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2019,829,7.8,106.3
"3871","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2019,913,7.7,118.6
"3872","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2019,1405,7.6,184.9
"3873","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2019,1267,7.5,168.9
"3874","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2019,865,7.2,120.1
"3875","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2019,794,7,113.4
"3876","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2019,967,7.3,132.5
"3877","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2019,845,7,120.7
"3878","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2020,391,7.1,55.1
"3879","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2020,367,7,52.4
"3880","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2020,356,7.3,48.8
"3881","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2020,133,7.9,16.8
"3882","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2020,393,6.9,57
"3883","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2020,353,7.1,49.7
"3884","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2020,549,6.9,79.6
"3885","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2020,569,7.2,79
"3886","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2020,565,7.2,78.5
"3887","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2020,642,6.8,94.4
"3888","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2021,282,6.9,40.9
"3889","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2021,164,7.1,23.1
"3890","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2021,338,7.2,46.9
"3891","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2021,314,7.3,43
"3892","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2021,440,7,62.9
"3893","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2021,344,6.7,51.3
"3894","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2021,426,6.6,64.5
"3895","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2021,186,6.9,27
"3896","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2017,1381,7,197.3
"3897","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2017,1094,6.5,168.3
"3898","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2017,911,8,113.9
"3899","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2017,1759,7.7,228.4
"3900","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2017,941,7.6,123.8
"3901","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2018,1009,7.1,142.1
"3902","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2018,1318,7.4,178.1
"3903","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2018,861,7.5,114.8
"3904","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2018,1349,7.3,184.8
"3905","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2018,1071,7.1,150.8
"3906","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2018,1559,7.4,210.7
"3907","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2018,1207,7.6,158.8
"3908","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2018,1505,7.8,192.9
"3909","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2019,1376,7.6,181.1
"3910","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2019,2271,7.8,291.2
"3911","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2019,889,7.4,120.1
"3912","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2019,1779,7,254.1
"3913","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2019,1898,6.7,283.3
"3914","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2019,1090,6.6,165.2
"3915","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2019,1693,6.9,245.4
"3916","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2019,1526,7,218
"3917","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2018,2835,7.4,383.1
"3918","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2018,2470,6.4,385.9
"3919","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2018,2375,6.6,359.8
"3920","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2018,1970,6.8,289.7
"3921","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2018,2545,7.1,358.5
"3922","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2018,2945,7.1,414.8
"3923","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2018,3056,6.9,442.9
"3924","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2018,749,7,107
"3925","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2019,3410,7.3,467.1
"3926","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2019,2050,7.4,277
"3927","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2019,2510,7.4,339.2
"3928","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2019,1931,7.1,272
"3929","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2019,2279,7.2,316.5
"3930","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2019,2370,7,338.6
"3931","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2019,2200,7.1,309.9
"3932","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2019,2460,7.1,346.5
"3933","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2019,2190,7.2,304.2
"3934","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2019,2361,7.5,314.8
"3935","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2020,1550,7.6,203.9
"3936","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2020,1939,7.5,258.5
"3937","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2020,1730,7.6,227.6
"3938","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2020,820,7.1,115.5
"3939","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2020,1550,6.7,231.3
"3940","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2020,1408,6.4,220
"3941","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2020,1414,6.6,214.2
"3942","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2020,1601,7.2,222.4
"3943","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2020,3929,6.8,577.8
"3944","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2020,100,7.2,13.9
"3945","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2021,100,7,14.3
"3946","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2021,756,7.2,105
"3947","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2021,665,6.9,96.4
"3948","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2021,503,6.4,78.6
"3949","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2021,1826,6.8,268.5
"3950","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2021,1019,5.4,188.7
"3951","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2021,1119,5.8,192.9
"3952","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2017,3658,6.6,554.2
"3953","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2017,5289,6.66,794.1
"3954","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2017,4106,6.5,631.7
"3955","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",6,2017,2397,7.23,331.5
"3956","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",7,2017,3434,6.53,525.9
"3957","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",8,2017,3079,6.33,486.4
"3958","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",9,2017,3065,6.28,488.1
"3959","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2017,3290,6.58,500
"3960","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",11,2017,4636,6.62,700.3
"3961","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",12,2017,2795,6.62,422.2
"3962","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",1,2018,3135,6.49,483.1
"3963","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",2,2018,3915,6.32,619.5
"3964","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2018,5922,6.7,883.9
"3965","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2018,2708,6.62,409.1
"3966","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2018,2205,6.45,341.9
"3967","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",6,2018,2501,6.21,402.7
"3968","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",7,2018,1251,6.17,202.8
"3969","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",8,2018,1745,6.41,272.2
"3970","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",9,2018,2467,6.28,392.8
"3971","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2018,3768,6.62,569.2
"3972","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",11,2018,3094,6.49,476.7
"3973","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",12,2018,3468,6.37,544.4
"3974","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",1,2019,1954,6.66,293.4
"3975","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",2,2019,1834,6.45,284.3
"3976","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2019,2182,6.49,336.2
"3977","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2019,2873,6.28,457.5
"3978","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2019,4644,6.29,738.3
"3979","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",6,2019,2482,6.06,409.6
"3980","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",7,2019,4201,5.84,719.3
"3981","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",8,2019,2649,5.95,445.2
"3982","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",9,2019,2643,5.95,444.2
"3983","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2019,1816,6.17,294.3
"3984","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2020,713,6.41,111.2
"3985","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",12,2017,662,7.6,87.1
"3986","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",1,2018,678,7.3,92.9
"3987","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",2,2018,597,7,85.3
"3988","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",3,2018,694,7.5,92.5
"3989","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",4,2018,813,6.6,123.2
"3990","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",5,2018,690,6.1,113.1
"3991","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",6,2018,940,6,156.7
"3992","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",7,2018,639,6.3,101.4
"3993","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",8,2018,686,6.3,108.9
"3994","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",9,2018,948,7.2,131.7
"3995","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",10,2018,820,6.6,124.2
"3996","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",11,2018,700,7.4,94.6
"3997","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",12,2018,895,7.3,122.6
"3998","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",1,2019,682,7.2,94.7
"3999","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",2,2019,445,7.2,61.8
"4000","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",3,2019,670,7.8,85.9
"4001","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",4,2019,665,6.8,97.8
"4002","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",6,2019,590,6.2,95.2
"4003","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",7,2019,593,5.8,102.2
"4004","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",8,2019,772,6.5,118.8
"4005","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",9,2019,796,6.3,126.3
"4006","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",10,2019,863,7.2,119.9
"4007","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",11,2019,817,7.6,107.5
"4008","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Spring",11,2017,1918,6.9,278
"4009","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Summer",12,2017,980,6.7,146.3
"4010","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Summer",1,2018,1388,6.8,204.1
"4011","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Summer",2,2018,1188,6.9,172.2
"4012","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",3,2018,1671,6.8,245.7
"4013","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",4,2018,1113,6.5,171.2
"4014","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",5,2018,2291,6.4,358
"4015","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",6,2018,1557,6.2,251.1
"4016","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",7,2018,1636,6.4,255.6
"4017","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",8,2018,1884,6.4,294.4
"4018","3c946582","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",7,2017,700,6.3,111.1
"4019","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",3,2018,1595,8.8,181.2
"4020","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",4,2018,2852,7.84,363.8
"4021","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",5,2018,296,7.5,39.5
"4022","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",6,2018,100,7.3,13.7
"4023","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",7,2018,854,7.8,109.5
"4024","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",8,2018,1650,8.5,194.1
"4025","81bb92e4","Hyundai Ioniq (EV)","Auckland","Spring",9,2018,2012,8.8,228.6
"4026","81bb92e4","Hyundai Ioniq (EV)","Auckland","Spring",10,2018,1820,9.3,195.7
"4027","81bb92e4","Hyundai Ioniq (EV)","Auckland","Spring",11,2018,2131,9.3,229.1
"4028","81bb92e4","Hyundai Ioniq (EV)","Auckland","Summer",12,2018,2239,9.2,243.4
"4029","81bb92e4","Hyundai Ioniq (EV)","Auckland","Summer",1,2019,3007,9.5,316.5
"4030","81bb92e4","Hyundai Ioniq (EV)","Auckland","Summer",2,2019,1120,9.3,120.4
"4031","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",5,2019,2173,8.4,258.7
"4032","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",8,2019,1616,7.9,204.6
"4033","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Spring",10,2018,351,7.5,46.8
"4034","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Spring",11,2018,274,7.6,36.1
"4035","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Summer",12,2018,408,7.6,53.7
"4036","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2018,1073,5,214.6
"4037","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2018,720,5.5,130.9
"4038","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2018,743,4.9,151.6
"4039","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",6,2018,950,4.9,193.9
"4040","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",7,2018,778,5,155.6
"4041","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",8,2018,963,5.3,181.7
"4042","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2018,786,5.1,154.1
"4043","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2018,1320,5.5,240
"4044","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2018,698,5.8,120.3
"4045","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2018,771,5.9,130.7
"4046","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",1,2019,340,5.9,57.6
"4047","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",2,2019,668,6.1,109.5
"4048","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2019,1148,5.9,194.6
"4049","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2019,1271,5.7,223
"4050","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2019,933,5.6,166.6
"4051","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2019,818,5.1,160.4
"4052","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2019,759,5.5,138
"4053","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2019,885,5.3,167
"4054","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2019,1738,5.5,316
"4055","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",1,2020,1077,5.9,182.5
"4056","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",2,2020,1104,6,184
