Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Waikato,4.288279363,4.407097900,4.515009389,4.611385973,4.639622295,4.638573343,4.700722860,4.623447186,4.569443023,4.621557127,4.609905757,4.595600367,4.650400757,4.758055219,5.006877951,5.244170591,5.430105980,5.635547337,5.639761469,5.467487726
Bay of Plenty,2.123631957,2.169730053,2.259537027,2.393366083,2.477908228,2.467819253,2.510855242,2.482320691,2.473136219,2.458471282,2.421638499,2.408943752,2.450868085,2.511706598,2.522629869,2.673425811,2.787464845,2.807217691,2.858241878,2.839492824
West Coast,0.429723265,0.438375989,0.457737286,0.478339443,0.476888797,0.480082923,0.483158678,0.471921263,0.487202216,0.481208714,0.469716135,0.452718711,0.447616981,0.465658541,0.493684563,0.508462425,0.522863922,0.536434535,0.501017709,0.457944408
Otago,1.744231520,1.888807076,1.945433197,1.957681507,1.979542641,1.988875591,2.028115421,2.008757682,2.033045989,2.015936127,1.961663703,1.924724925,1.964004723,2.021476025,2.101967684,2.194094406,2.274766741,2.386112528,2.412953564,2.365791631
